Date Published,Rating,Best Rating,Author,Review,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,Aircraft
2025-02-04,2,10,Marinelle van de Velde,"✅ Trip Verified | In December my husband and I flew to Mauritius: a 2 week holiday after a busy year (at 61 and 63). We were going to fly Business Class (for the first time) ; we were so excited to leave. This trip was going to be more than amazing... and it was - apart from the experience with Air France. The departure flight was disastrous due to the heavy turbulence. It was so bad all night long that we couldn't fold down, just bad luck due to the weather conditions. The service of the staff and crew on board was impeccable. Nothing to say. So far, all good! After 2 wonderful weeks on the spot we check in online for the return flight to Belgium (via Paris) and discover that we are not sitting next to each other. We call AF Brussels and an arrogant Dutch lady (merger KLM) tells us that we only had to pay 150 euros per person/one way to sit next to each other, on top of the Business price. Good to know! But that was just the beginning of the misery. On Christmas Day, December 25, the alarm goes off at 5 am to take us to the airport at 6:30 am for our flight home. Then my husband saw the email that AF had sent at 4 am. 1h30 delay on arrival in Paris, no more train connection to Brussels and the hotel we had booked in Brussels (145 euros) was unfortunately too late to cancel. We called AF Brussels, where a Dutch lady, even more arrogant than the previous lady, told us that we had to book a hotel on arrival in Paris and file a complaint. Good to know! The flight to Paris went very well and we arrived in Paris. After asking for explanations several times, we finally found the right place and joined a long line of passengers who were in the same situation as us. A lady offered us a night at the Ibis or the Melia, but before we got there, we had to: - Pick up our suitcases (15 minutes walk) - Crossing the entire airport with the suitcases to find the train to the hotel (20 minutes walk) - Searching for the hotel outside without lights for 20 minutes and this at almost midnight. The happiness of two weeks in paradise in Mauritius quickly disappeared. After a short night, we have to leave again at 5:30 in the morning to take the train to Brussels. On December 26, we finally arrived home at 2:00 p.m. (we left on December 25 at 6:30 a.m.), so it is not possible for us to go back to work on December 26 as planned! What an unforgettable Christmas! But it is not over yet: AF informs us that the delay does not entitle us to compensation/damages due to the bad weather conditions, where there was not a single cloud and the sky was oh so clear. They lie and deny all responsibility… as if it were our fault! We travel often, but in all the years we travel economy class, we have never experienced such an unfair situation: no respect for travelers and a dishonest airline. Conclusion: Mauritius is a dream, but AIR France is a nightmare! (I hardly ever comment online, but this time I had to do it to prevent other passengers from having the same horrible experience!).",Couple Leisure,Business Class,Brussels to Mauritius via Paris,December 2024,4.0,4.0,3.0,3.0,1.0,1.0,1,No,Boeing 747-400
2025-01-01,9,10,Anders Pedersen,"✅ Trip Verified |   Copenhagen-Paris 31 December 2024 on a newer A220-300. Everything went close to perfect; AF is one of the best European carriers. I have status in their Flying Blue program and was recognized as such throughout. Check-in, lounge access (3 options), and boarding in CPH was a breeze. Got my favorite exit row seat. New Years champagne served onboard to elite card holders - without even asking. Tasted also the different wines from business class. Got an airline special souvenir: a black AF-branded baggage tag. Only minor drawbacks were their claimed inability to check in my luggage beyond Paris, modest sandwich catering onboard, and no hot food options. All remaining 100+ sandwiches were dished out after serving, assisting those who were further hungry. Flight on time, very affordable, got the perks from being frequent flyer despite being on the cheapest economy light ticket. Luggage in Paris quickly out on the belt. A legacy carrier, strongly recommend.",Business,Economy Class,Copenhagen to Paris,December 2024,4.0,5.0,3.0,,4.0,,5,Yes,A220-300
2025-01-01,1,10,G Marleno,"✅ Trip Verified |   Increasingly more expensive the plane ticket and the service in addition to increasingly smaller spaces. I paid extra for a space in the hallway where every time the flight attendants passed by at full speed, they would bother me and hit me or throw the curtain over me, without even realizing it. Old plane, disgusting bathroom. The human service of the employees inside the plane was very unpleasant. After more than 8 hours of flying, they gave me a piece of bread with cheese inside that I did not eat. The Airfrance office in Havana in Cuba also treated me poorly and tried to charge me more for an extra suitcase than necessary. Cada vez más caro el billete de avión y pero el servicio además de espacios cada vez más reducidos. Pague extra por un espacio en el pasillo donde cada ves que pasaban los sobrecargos a toda velocidades, me molestaban y golpeaban ó med tiraban encima la cortina, sin ni siquiera darse cuenta. Avion viejo, baño asqueroso. El servicio humano de los empleados dentro del avión, fue muy desagradable. Después de más de 8 horas de vuelo, me dieron un pan con queso dentro que no me comí. . El la oficina de Airfrance en La Habana en Cuba también me trataron mal y intentaron cobrarme más por una maleta extra que lo necesario.",Couple Leisure,Economy Class,Oslo to Havana via Paris,December 2024,1.0,1.0,1.0,2.0,1.0,,1,No,
2024-12-28,1,10,Jimmy Van den Berg,"✅ Trip Verified | A long flight of 13 1/2 hours, but it was one of the worst flights ever. Food is extremely poor (remember French!), you only get a small lunch, for a big part of the passengers there was only pasta left. Very dry tasteless pasta, with even drier bread, terrible. Then during the whole flight they came by only once for a small drink. In the morning they serve a pretty simple breakfast, some fruit and another dry piece of bread. Seat wasn't the best, soon I got a hard bottom. Then in this new plane 2 of the economy toilets didn't have water. It was a big mess so a big miss. Never again with Air France.",Solo Leisure,Economy Class,Santiago to Paris CDG,December 2024,2.0,3.0,1.0,5.0,1.0,3.0,1,No,A350
2024-12-18,8,10,R Hayes,✅ Trip Verified |   Air France comes up top for short trips compared to other European carriers. On time. Clean aircraft and comfortable. Organised boarding. Sandwich (or two) drinks including alcoholic if wanted and pleasant if functional crew. Best in Europe by far.,Business,Economy Class,Algiers to Paris,December 2024,4.0,4.0,4.0,,4.0,,4,Yes,
2024-12-13,1,10,Peter Stefou,"✅ Trip Verified |   Our flight from London was delayed, we had to run with our toddler on my arm to make the connecting flight to London, but our luggage did not make it Lima, it was stuck in Paris. Upon arrival in Lima the luggage handling person said, the luggage has been found in Paris and we get it after the next flight arrives. 24 hours after our arrival I received an email that we would get our luggage within 24 hours. Since we have not been contacted by Air France after 12 hours I called Air France when we would get it, they don't guarantee anything. Then they hung up on me. When I called again 1 minute later they said the system was down, which was not credible.",Family Leisure,Economy Class,London to Lima via Paris,December 2024,2.0,2.0,,,1.0,,1,No,
2024-12-12,3,10,T Sharma,"✅ Trip Verified | I took the flight from HAV to AMS with a connection at CDG. The first flight AF817 was delayed by 1 hour and the second one to AMS (flight AF1740) was initially changed to be operated by another airline and then changed again but at a later time than scheduled. When I booked the tickets I was scheduled to arrive in Amsterdam at 14:00, so I booked a flight (A3519) with Aegean Airlines to SKG departing at 18:00 from AMS. Due to the delay in Havana, I missed the flight from CDG to AMS, so I also missed the scheduled flight with Aegean to return to Greece. The employee of the French company, since she showed me in a way that she didn't care at all and simply apologized to me with a sense of irony and ZERO respect, she booked me another flight from Paris to Amsterdam and gave me a €15 voucher for my inconvenience, which cost me €180, because I had to change the ticket to Thessaloniki for the next day. And the endless incredible inconvenience didn't end there, as one of my two luggage NEVER arrived in Amsterdam and stayed in Paris. When they find it they will send it to me in Thessaloniki. We pay these people and this company hundreds and thousands of euros. To show zero respect and zero understanding.",Couple Leisure,Economy Class,Amsterdam to Havana via Paris,December 2024,3.0,5.0,4.0,5.0,1.0,,3,No,
2024-12-11,9,10,Anders Pedersen,"✅ Trip Verified | 10th Dec 2024, flew Paris-Copenhagen after arriving from Africa in another terminal. Transit in Paris is a hassle, it took me two full hours to get to the target terminal, Non-Schengen. If I have had to transfer luggage myself it could have cost me 3 hours! Air France’s Salon Lounge in T2F is excellent and classy with a proactive, moving champagne team offering French liquid culture to guests. Good food offerings and wines. Lounge reception fast and helpful to print out Boarding Passes and further: track down my luggage and have it into the system to CPH as AF don’t have an interline agreement with the previous airline, despite it was booked the whole way. Boarding fast, smooth and effective, did not waste a Minute. Flew on an A318; 3x2 seat configuration with amble legroom in the prebooked exit seat. Seats not reclinable. Catering fair. Only cold drinks and cold sandwiches served. 2-3 drink rounds offered soft drinks, sparkling waters, French wines (got a drinkable Grenache), and local beers (“1664”). Call-bells answered promptly despite full plane. AF should serve a hot meal or offer hot snacks for all international flights. Elaborate cockpit announcements were very informative. Can’t fault AF much; they are on the rise and do their best. Economy Light ticket was very cheap disallowing checked in luggage. However, I was still granted 2 pieces of inscribed luggage due to FB status (1st piece) and a rebooking by AF some weeks earlier (2nd piece). The rebooking allowed me to change my departure town. Got Flying Blue miles and XPs. Briefly on time. Arrival in CPH smooth, luggage arrived in good shape.",Solo Leisure,Economy Class,Paris CDG to Copenhagen,December 2024,4.0,4.0,3.0,,5.0,,5,Yes,A318
2024-12-09,8,10,M Collie,"Not Verified |  Very pleasant trip. Flat bed seats were comfortable and allowed a good sleep. Meals were good and well presented. Staff were pleasant but naturally responded better to French speakers. The A318 was showing its age, but staff worked hard.",Couple Leisure,Business Class,Santiago de Chile to Dublin via Paris,November 2024,4.0,3.0,4.0,,4.0,3.0,3,Yes,A350 / A318
2024-12-04,8,10,Pierre Ferrandi,✅ Trip Verified |   Air France is new to Phoenix and is a welcome addition to compete against AA and BA to Europe through London. Air France brings a much welcome upgrade to Business Class service quality with better food and beverage options as well as a more refined service. The Boeing 777-200 has an older business class setting than most AA/BA metal serving Phoenix but it is comfortable and I found the cabin to be clean. It provides free Internet messaging. Currently only flying 3 times a week we are waiting to the ramp up to 5 flights next year and hopefully a daily service asap. I have been a critic of AF in the past and I do not like their European Business Class service which is just Coach with a smile but they certainly shine on the transatlantic front.,Couple Leisure,Business Class,Paris to Phoenix,December 2024,4.0,5.0,5.0,3.0,4.0,4.0,4,Yes,Boeing 777-200
2024-11-29,1,10,Jackie Weiss,"Not Verified |  Our connection flight was impossible to reach - along with several other passengers we ran from Terminal G to F, only to miss our connection. Time between flights was one hour. We did also ask to be moved forward both at the security and passport queues. Unfortunately no staff member was willing to help - even showing our baording passes. This is what we mentioned to the support staff at the Air France Desk. The staff member there was not surprised, not helpful and simply plain rude. He printed out new boarding tickets for a flight 6.5 hours later(!) We did not get an apology - only a 15 EUR voucher; which at Paris-Charles de Gaulle is barely enough for a hot meal with a drink. The staff member did make sure to book us separat seats, each middle seats in different rows. And guess what? The flight was not even full! We ended up moving to free seats so we could sit together. We arrived at our destination over 7 hours too late! We contacted Air France referring to Directive No. 261/2004 , giving a passenger the right to a compensation of at least € 250. Air France argued that the flight connection was indeed possible to make. This way of behaving is in my opinion, fraudulent to say the least. If you ever travel with Air France and something goes wrong – do not count on Air France to live up to any due responsibility or even to respect and follow established law. I'm deeply disappointed and happy to pay more or travel longer with other airlines where at least I know the service will be justified. Never again will I travel through Paris! It's simply not worth the savings. Staff in Amsterdam or other international airports are much more helpful and friendly!",Business,Economy Class,Paris to Hamburg,November 2024,2.0,2.0,1.0,3.0,1.0,,1,No,
2024-11-26,1,10,L King,✅ Trip Verified | This is the worst airline experience I have ever had. They are running a scam in the terminal where they weigh all of your hand luggage together and tell you it’s over weight. They have about 15 “security” people preying on air travelers and weighing the bags then taking you to a desk where they charge a variety of prices (all more than the full ticket cost) to check varying amounts of bags. I’ll never fly Air France again.,Business,Economy Class,Paris to London,November 2024,2.0,2.0,,,1.0,1.0,1,No,
2024-11-26,1,10,S Anders,"✅ Trip Verified |   Flight from Copenhagen was scheduled to depart 12:05. The flight was delayed and after the original departure time, a new departure time was announced to be 13:40 and thereafter changed a second time to 15:00. The flight was in fact delayed even further and departed from Copenhagen 16:52, and thus well over 3 hours delay. I contacted Air France referring to Directive No. 261/2004 , giving a passenger the right to a compensation of at least € 250. Air France first argued that the flight was not delayed beyond 3 hours. I then sent a copy of my physical boarding card clearly showing a departure time of 12:05. Air France then argued that they would not change their decision of refusing any compensation and that their decision was in line ""with company policies"" without outlining what those policies state. Not even when I requested an explanation why the EU-directive would be applicable, Air France even bothered to detail anything about it. It also deserves to be mentioned that the delay was not owing to any force majeure. This way of behaving is in my opinion, fraudulent to say the least. If you ever travel with Air France and something goes wrong – do not count on Air France to live up to any due responsibility or even to respect and follow established law.",Solo Leisure,Business Class,Copenhagen to Paris,October 2024,2.0,3.0,2.0,,1.0,3.0,2,No,
2024-11-25,9,10,Keith Mallinson,"Not Verified |  Both flights were excellent, food, entertainment and seats comfortable. Friendly and attentive cabin crew. The only criticism was at check in. The computer system was down in Havana so boarding cards were written by hand and only to Paris resulting in an unnecessary and lengthy wait at Customer Services in Paris to obtain boarding for London. No attempt was made in Havana to inform passengers of the problem.",Couple Leisure,Premium Economy,Havana to London via Paris,November 2024,5.0,5.0,4.0,5.0,1.0,5.0,5,Yes,Boeing 777
2024-11-19,1,10,Hong Zhou,"✅ Trip Verified |   I recently traveled with my 12-year-old daughter on an Air France flight AF027 on Nov 6, and the experience was deeply disappointing. After our tickets are purchase, I contacted the customer service and was told the we will be assigned seats next to each other since we are PARENT and CHILD. On APP advance check-in, we were assigned seats 32J and 32K. However, at the counter, I received printed boarding passes showing one seat was moved to row 39, separating us. This is unacceptable. Air France split a parent and child, despite my daughter being a minor. Yet, despite my efforts at the gate, the seats could not be adjusted, finally leaving us separated by an aisle at row 26. This was extremely frustrating. I sent this complaint after our trip to Air France complaint website and got a message from a customer care assistant, composing a long paragraph stating that seats are not guaranteed, ""a re-assignment of seat can occur in the case of security or safety requirements,"" ""our staff must provide and engender the essential sense of security, well-being, and overall value that today heralds the varied basis of any service provided by a major international airline."" This is ridiculous that her reply was not only dismissive but completely missed the point of my complaint. She did not read my complaint and used the generic statements which failed to address the core issue: why was a minor separated from her parent? Is this due to ""re-assigned seat due to safety requirements?"" Due to you are ""providing sense of security, well-being and overall value??"" I totally understand and would not care about seating while I am flying alone. However, per IATA and FAA guides you are not providing ""sense of security, well-being and overall value"" as you said. Having a 12 old seating far away from her parent, by her self in the crowd of strangers? How to you come up such idea?",Family Leisure,Economy Class,Los Angeles to Paris,November 2024,1.0,1.0,3.0,3.0,1.0,3.0,1,No,
2024-11-10,8,10,M Collie,"Not Verified |  Very pleasant and even relaxing. Both flights on time and baggage arrived Food and drink satisfactory as opposed to excellent. Cabin staff did their jobs efficiently but with little warmth. A350 is quiet and lay flat seats are comfortable. A318 is a rarity! Did not have time to sample lounges Paris transfer was a little daunting, but well signed. d Boarding of second leg was messy, as we were bussed to a very remote stand",Couple Leisure,Business Class,Dublin to San Jose via Paris,October 2024,4.0,3.0,4.0,3.0,2.0,,3,Yes,A318 / A350
2024-11-05,1,10,Chetan Bhatia,"✅ Trip Verified | I booked AF with an impression that it is one of the best airlines in the world. However, to my utter disappointment this airlines lacks all the service parameters that it should have. 1. Customer Service: While checking in at the airport counter at yyz I was with my newborn and was looking for an assistance to help with my luggage and getting a boarding pass but I was left on my own to do things and the ground staff was busy on their phone. Once I completed my checking the staff comes and shamelessly asking for a review. (I would have better complained but didnot wanted to escalate the situation) 2. Airline Crew: While I was managing my baby in a bassinet the airline crew was absolutely uncooperative and infact gave a hard stare when confronted as if they wish they could throw me out of the plane. the most ridiculous, unprofessional and Impatient crew i have ever come across 3. Baggage compensation: My bags were damaged and beyond repair. I was looking for a compensation but I was given a dummy number and email address to contact and get my bag repaired which never worked and they closed my case inspite of repeated followups Overall: A bad experience with Air France and not recommending any one to fly with AF.",Family Leisure,Economy Class,Toronto to Mumbai via Paris,October 2024,3.0,1.0,1.0,1.0,1.0,,2,No,
2024-10-31,10,10,R Barlir,"✅ Trip Verified |   Air France has the best customer service ever! Our flight to Tel Aviv was cancelled due to the situation in the middle east, and air France phone center did everything possible to find us a different route. Because the only airline that flew was El Al, all the flights were fully booked, so we called a couple of times to Air France customer service until we managed to book a new seat from Rome to Tel Aviv, even though the connection should have been from Paris. Air France moved our flight 1 day forward, added a flight to Rome, and booked the El Al tickets without additional cost (the tickets were super expensive on the website) To add to it all, the service was in Hebrew which was extremely convenient! Would fly again",Couple Leisure,Economy Class,Santiago to Tel Aviv,October 2024,5.0,5.0,3.0,5.0,5.0,4.0,5,Yes,
2024-10-26,1,10,R Burden,"✅ Trip Verified |   Our experience with Air France in Detroit Airport in May 2024 was appallingly unprofessional from start to finish. We were informed a couple days before our departing flight that our flight was delayed by a day. As people who have traveled extensively, we understand that this is not uncommon, but the way Air France handled the rescheduling of our flight was tumultuous to say the least. In order to get our returning flight pushed back a day (so we would not lose an entire day from our trip) we had to contact multiple people online and over the phone, wasting hours with unhelpful customer service. But we eventually managed to move our returning flight and confirm our departing flight. Being concerned about how that situation was handled, I called Air France to make sure our flight was confirm two days before our departing flight. We were assured multiple times that our flight and seats were confirmed. However, when we arrived at the Detroit airport, I was told by someone who worked for Air France that my flight was not only unconfirmed, but that she had noticed my ticked was unconfirmed 24 hours ago and was “wondering and waiting for me to confirm” my flight. When I asked why I never received a call or email to confirm my flight since she was curious about my flight status herself, the agent just shrugged her shoulders and laughed. The agent began to show animosity toward me at this moment because she must’ve taken my question as an insult (despite it being a valid question). The agent continuously said that because my flight was unconfirmed, they likely gave the seat to someone else and it would now be impossible for me to get on that flight. She said she would look to check the flight but gave the impression there was nothing she could do now. Amidst my sudden panic attack, the agent proceeded to tell my girlfriend that she can get my girlfriend onto the flight without me and that my girlfriend should leave me behind and get on the flight. The agent  could not have cared less about my situation or the urgency of the matter.  Luckily my girlfriend and I were finally able to get onto our flight. I have never received such poor and unprofessional service from anyone.",Couple Leisure,Economy Class,Detroit to Paris,May 2024,2.0,3.0,3.0,4.0,1.0,,1,No,
2024-10-24,1,10,Emmanuel Henrotte,"✅ Trip Verified |   Never had such a horrible experience with an airline. At the beginning i could not check in online. I have never experienced such unfriendly, impolite and unprofessional staff.",Business,Economy Class,Paris to Ho Chi Minh,October 2024,1.0,1.0,2.0,2.0,1.0,,1,No,
2024-10-17,2,10,L Vincent,"✅ Trip Verified | Without any explanation given by the ground staff the passengers had to wait one hour before they could embark. But once on board some of them were rudely asked to place their hand luggage in the hold as there was no room for it on board.  Surprisingly, when we landed to Tbilisi I discovered that there were empty spaces in the luggage compartments - it’s just that the crew decided to shut them quickly even before all passengers embarked. So, we had 30 minutes delay again.  The dinner was a joke. A tiny sandwich and a cracker for a 4:30 flight.  My neighbors wanted to have an extra bottle of wine. But the attendant responded that they already had three of them and that enough is enough!  And as Air France is still using their old A-320, no inflight entertainment!",Business,Economy Class,Paris to Tbilisi,October 2024,1.0,1.0,1.0,1.0,1.0,2.0,2,No,A320-200
2024-10-14,2,10,S Marben,"✅ Trip Verified |   I have previously flown Business Class on Air France and thought it was excellent. Unfortunately this trip in their Premium Economy was not worth it, even allowing for different expectations. First, I rang to tell them that I was bringing 2x kitesurf bags. Their policy permits this provided you tell them at least 48 hours in advance (which I did, ringing 6 days prior). They flat out refused to take the second bag saying ""the hold was full"" (of cargo presumably). I pointed out I was flying for the sole purpose of kitesurfing and without the requisite equipment the holiday was ruined and the flight pointless.  The flight from LHR to CDG was fine. We were given a nice sandwich. The problem started on the CDG > GRU leg an 11 hour overnighter on a 777. The plane was shabby and old. There was no pre dinner drinks service with the drink served at the same time as the main meal - not what you want on an 11 hour flight departing in the evening. They had run out of Premium Economy food so I got Economy food and mine was disgusting - miserable and tasteless. My travelling companion got the Premium Economy meal which was almost as bad (there is it seems virtually no difference). The worst bit by far is the seat which does not recline and is as hard as a rock. Indeed the seat on the A220 for the 40 minute flight from London in economy was better than this seat. Truly terrible. On the return leg it was virtually impossible to check in to Gol (their Brasilian in country partner) as the Air France ticket locator code is not recognised on the Gol website. On GRU to CDG flight we at least got a drinks service. But the food was just as bad as before. I was offered a drink after the meal that was served in a cardboard cup. The seat was still like lying on a rock. Again no sleep possible on an overnight flight. Security going to the K gates was a lengthy and stressful mess. I realise this is not Air France's fault; but it is part of the Air France experience since that is where you have to change planes, so is relevant if you are thinking of booking. Overall the extra charged for their ""premium economy"" is simply not worth it. Things they need to do to fix it: 1. Live up to their promise and actually take your sports equipment instead of prioritising cargo. 2. Update their planes (the 777 was ancient) 3. Provide a proper drinks service 4. Upgrade the food 5. Upgrade the seats so they are comfortable and recline a bit, so you can sleep. 6. Make sure AF locator codes work on partner airlines for checkin 7. Get CDG airport to speed up the security process for transfers.",Family Leisure,Premium Economy,Sao Paulo to Paris,October 2024,1.0,2.0,1.0,2.0,1.0,3.0,2,No,Boeing 777
2024-10-07,8,10,M Laurent,"✅ Trip Verified | I very much enjoyed this trip in premium economy. The seats are wider compared to economy with just 8 seats per row instead of 10. Everyone gets their own armrests on both sides. The seat recline is generous and the seat is built in a way that allows for a couple of hours of sleep. The premium economy cabin is separated by a wall and curtains from the economy cabin. This allows for a cosy feeling in a small cabin of just six seat rows. The entertainment screen and system are up to date. The headphones provided are fixed to the seat. Alternatively, you could pair your own headphones through Bluetooth, which worked flawlessly. The food quantity and quality on the other hand falls short. On the 13 hour flight to Paris, only one meal was served just after take off. The crew occasionally distributes snacks and tiny sandwiches. There's another hot snack before landing. Better to stock up on snacks and a bottle of water in the convenience store after security at the airport. The premium economy tickets gives access to Sky Priority benefits in the airport and allows you to board in group 2, ahead of most passengers in economy class. At Seoul Incheon Airport, there were sadly no provisions for Sky Priority lanes for security and passport control. The queues were quite long but everything was handled efficiently.",Solo Leisure,Premium Economy,Incheon to Paris CDG,October 2024,4.0,5.0,2.0,5.0,3.0,4.0,4,Yes,Boeing 777
2024-10-04,7,10,Michel Perrin,"✅ Trip Verified |   Our experience at NCE SkyPriority check-in was the worst. We were denied to board an earlier flight from NCE to CDG, that we requested as our connection in CDG was very short. Despite the fact that seats were available and we would have accepted to be downgraded to ECO on that flight, the staff denied arguing that our tariff did not allow. It was not true as we checked later. In CDG we had to rush between terminals, due to the late arrival of our aircraft, cross immigration etc.; we were the last pax to board. On the other side A350 new Business class seats are great (especially front row), food was delicious, and staff top notch. Wine selection was not interesting unfortunately. France has much better to offer. Note that Wi-Fi was not available which is very annoying.",Couple Leisure,Business Class,Nice to Boston via Paris CDG,September 2024,5.0,5.0,4.0,2.0,1.0,,4,Yes,A320/A359
2024-09-29,1,10,Ricardo Arzac,"✅ Trip Verified |   Our trip was from Bilbao to Houston via Paris. Air France departed late from Bilbao (no weather issues) we arrived in Paris to board our leg to Houston, Tx and when we get to the gate after running from one terminal to the other, they did not allow us to board even though the plane was there. Even after begging, the staff still decided. We were sent the next day via Detroit / Austin. The vouchers we got were not accepted at the places we tried. All the airline staff, except for one person were adamant. Avoid flying with Air France!!",Family Leisure,Economy Class,Paris to Detroit,September 2024,3.0,4.0,4.0,4.0,1.0,3.0,1,No,A350
2024-09-25,7,10,Michel Perrin,"✅ Trip Verified |   Check-in at BOS was quick, no-frills. Air France lounge needs a strong refurbishing as everything is worn-out. However good choice of wines and food. Very comfortable new seats (I recommend 1D for instance); Unfortunately night flight service was disappointing, with many food options lacking, and a one-tray service including appetizer, cheese, and desert (economy class type), that could not be a standard for a long-haul Business Class. Champagne was fine, but I would not rate wines at premiums. Crew did the job, only the job. We docked in a remote position in CDG, had to walk 100 meters under strong rain as the bus remained far away; how can this be ?",Couple Leisure,Business Class,Boston to Nice via Paris,September 2024,4.0,3.0,2.0,3.0,2.0,1.0,4,Yes,A350/A321
2024-09-14,3,10,V Richardson,✅ Trip Verified | Air France is really the worst airline in the world. This is the second flight I take in a row where they send me a text message informing me the wifi won't be available during the flight for technical reasons. Stuck in a 7 hours flight with no possibility to work. This is really 0 star airlines we are in 2024 and Wifi is just a basic amenity now. This is a really subpar airlines and to avoid for transatlantic flights.,Business,Economy Class,Paris to New York,September 2024,2.0,2.0,2.0,1.0,1.0,1.0,2,No,
2024-09-14,2,10,C Deane,"✅ Trip Verified |   I recently flew from Zanzibar to Paris in July 2024, and it was by far the worst international flight experience I’ve ever had. I was forced to sit next to a passenger who continuously vomited into a bag and coughed on me throughout the flight. I requested several times to have my seat moved but was told the plane was full. After takeoff, I noticed multiple empty seats, and some passengers were able to stretch out and sleep comfortably. I, however, was still forced to stay in my seat next to the sick passenger. When I asked the flight attendant again after takeoff about changing my seat, she spoke in French to another attendant and a passenger near the bathroom, completely ignoring me. To make matters worse, the sick passenger's mother got up to dispose of the vomit bags, confirming she was seated next to me. They never came to sanitize the area or move me, leaving me in an unsanitary and uncomfortable situation for the entire 8.5-hour flight. As an educator traveling internationally for both business and leisure, I didn’t want to cause a scene, especially being a Black traveler in a situation where we often face unfair treatment. It’s disheartening to feel like I had no option but to endure this, knowing how things could escalate unjustly. After the flight, I emailed Air France, and after weeks of waiting, they responded with an insulting $100 voucher that wasn’t even valid, and they never followed up with a call or proper discussion. I do not recommend flying with Air France. It’s disappointing to see Delta partnered with them, leaving me with little choice when traveling internationally. The lack of care, customer service, and disregard for basic human decency on this flight was appalling.",Solo Leisure,Economy Class,Zanzibar to Paris,July 2024,2.0,1.0,1.0,3.0,2.0,1.0,1,No,
2024-08-26,10,10,Henry Davis,"Not Verified |   We took the 8.55 flight from LHR to Nice on 25 August. I would like to compliment the cabin crew who were really lovely. They were attentive, polite, communicated sweetly with the kids on board and were good fun. Everyone I spoke to were so impressed with the cabin crew.",Family Leisure,Economy Class,London Heathrow to Nice,August 2024,4.0,5.0,4.0,,5.0,,4,Yes,
2024-08-26,1,10,Leonardo Sancho,"✅ Trip Verified |   My recent experience with them was a perfect storm of incompetence, neglect, and outright disregard for passengers. Let’s start with the appalling mistreatment I endured at Paris CDG Airport, particularly in Terminal M and at Counter 9. The airport staff at Paris CDG Airport, particularly in Terminal M and at Counter 9  seemed to have forgotten the basics of customer service. Rude, dismissive, and completely unhelpful, they managed to turn a stressful situation into a nightmare. When my connecting flight from Prague to Paris was delayed and caused me to miss my connection to Santiago (SCL), the staff’s reaction was an utter disgrace. The only solution they offered was a rebooking option two days later. There was no accommodation provided, no food vouchers, just a bottle of water and a meal box that could only be described as a sad, inedible joke. The airline’s blatant lack of ownership and accountability was evident throughout. My ordeal was further exacerbated by the deplorable conditions of the airport.  To add to the misery, Air France’s confusing hand baggage and personal item policy feels like a cynical ploy designed to force customers to check their hand luggage for an exorbitant fee. The courteous staff explained before the security check that your perfectly reasonable hand luggage was too heavy to be considered a personal item. They then inform you that checking it in will incur a steep fee.   One would think that Air France would care to make up for their mistakes, but the only response that support offered after this whole ordeal was ""I hope that you can accept our position and that we might have an early opportunity to restore your confidence in our service.""",Solo Leisure,Economy Class,Paris to Buenos Aires,July 2024,1.0,1.0,,,1.0,,1,No,Boeing 787-9
2024-08-26,1,10,R Webb,Not Verified |   Air France has by far the rudest staff. I had a terrible experience with the cabin crew and customer service. I've flown with many airlines and never seen rude cabin crew before this.,Solo Leisure,Economy Class,Chicago to Manchester,August 2024,1.0,1.0,3.0,4.0,1.0,1.0,2,No,
2024-08-25,9,10,Anders Pedersen,"✅ Trip Verified | ZRH-CDG on A220-300 23 Aug. 2024. AF operated flight for Kenya Airways. Accessed the Aspire lounge in Zurich to where AF has moved from the Merhaba next door. Lounge almost acceptable but no frills. Boarding a bit chaotic due to last minute gate change and attempts to organize people in groups which does not really work. AF had to issue new BP for me at gate as the ones I had did not work in their systems. Had huge space onboard in a selected exit seat in 2 x 3 configuration. Service onboard was sandwiches and drinks. FAs were in good mood and well rested. I noticed my luggage outside being broken while loaded from previous flight. Upon arrival in Paris, I retrieved the damaged luggage with some difficulties as it was still in transit for the next 3 ongoing flights on my itinerary. AF ground staff did well to assist me and gave me a brand new, luxury replacement suitcase, upon a bit of struggle. I transferred my items to new bag and re-checked it in again to final destination in Africa. Well done Skyteam and Air France, truly appreciated.",Solo Leisure,Economy Class,Zurich to Paris CDG,August 2024,4.0,4.0,3.0,,5.0,,4,Yes,A220-300
2024-08-22,3,10,K Carter,"✅ Trip Verified | On our flight to San Jose from Heathrow via Paris a suitcase was lost. We reported it immediately on arrival at San Jose and were told it would arrive the next day. It arrives 3 days later, we had to continually chase Air France during this time. When I submitted a claim for the lost luggage we were told we had not submitted in time and were now not entitled to make a claim. This limit was never mentioned and I think it shows a deplorable level of customer service",Family Leisure,Premium Economy,London to San Jose via Paris,July 2024,4.0,4.0,4.0,4.0,1.0,4.0,2,No,
